tracking_id	FPKM
ENSMUSG00000102693	0
ENSMUSG00000064842	0
ENSMUSG00000102348	0
ENSMUSG00000102592	0
ENSMUSG00000102343	0
ENSMUSG00000088333	0
ENSMUSG00000096126	0
ENSMUSG00000103265	0
ENSMUSG00000102269	0.0565134
ENSMUSG00000103003	0
ENSMUSG00000103922	0.883543
ENSMUSG00000098104	0
ENSMUSG00000104328	0
ENSMUSG00000102735	0
ENSMUSG00000102175	0
ENSMUSG00000088000	0
ENSMUSG00000025900	0
ENSMUSG00000102948	0
ENSMUSG00000104123	0
ENSMUSG00000025902	0.703139
ENSMUSG00000104238	0
ENSMUSG00000033845	47.6604
ENSMUSG00000102275	0.324345
ENSMUSG00000103280	0
ENSMUSG00000051951	0
ENSMUSG00000102851	0
ENSMUSG00000103377	0
ENSMUSG00000104017	0
ENSMUSG00000103025	0
ENSMUSG00000103201	0
ENSMUSG00000089699	0
ENSMUSG00000103147	0
ENSMUSG00000103161	0
ENSMUSG00000102331	0
ENSMUSG00000104352	0
ENSMUSG00000104046	0
ENSMUSG00000102907	0
ENSMUSG00000103936	0
ENSMUSG00000093015	0
ENSMUSG00000033774	0
ENSMUSG00000025905	0
ENSMUSG00000103090	0
ENSMUSG00000103519	0
ENSMUSG00000104385	0
ENSMUSG00000102534	0
ENSMUSG00000103329	0
ENSMUSG00000103845	0
ENSMUSG00000102213	0
ENSMUSG00000102135	0
ENSMUSG00000103282	0
ENSMUSG00000033740	0
ENSMUSG00000103629	0
ENSMUSG00000087247	0
ENSMUSG00000103355	0
ENSMUSG00000102706	0
ENSMUSG00000025903	47.3436
ENSMUSG00000104217	0.880722
ENSMUSG00000033813	11.3077
ENSMUSG00000062588	0.364848
ENSMUSG00000103709	0
ENSMUSG00000077244	0
ENSMUSG00000048538	7.74721
ENSMUSG00000103067	0
ENSMUSG00000103498	0
ENSMUSG00000002459	0
ENSMUSG00000091665	0
ENSMUSG00000033793	12.6216
ENSMUSG00000091305	0
ENSMUSG00000102653	0
ENSMUSG00000085623	0
ENSMUSG00000102768	0
ENSMUSG00000103903	0
ENSMUSG00000102272	0
ENSMUSG00000102320	0
ENSMUSG00000101571	0
ENSMUSG00000103557	0
ENSMUSG00000104428	0
ENSMUSG00000104226	0
ENSMUSG00000097797	0
ENSMUSG00000065625	0
ENSMUSG00000103411	0
ENSMUSG00000061024	7.93066
ENSMUSG00000025907	9.12983
ENSMUSG00000090031	0.963238
ENSMUSG00000051285	15.9793
ENSMUSG00000098201	0
ENSMUSG00000103509	0.165366
ENSMUSG00000099827	0
ENSMUSG00000025912	0.0165836
ENSMUSG00000095780	0
ENSMUSG00000045210	2.67944
ENSMUSG00000097893	2.65755
ENSMUSG00000025909	0
ENSMUSG00000102647	0
ENSMUSG00000086235	0
ENSMUSG00000102253	0
ENSMUSG00000093970	0
ENSMUSG00000103884	0
ENSMUSG00000084353	0
ENSMUSG00000103933	0
ENSMUSG00000076135	0
ENSMUSG00000086195	0
ENSMUSG00000104504	0
ENSMUSG00000066693	0
ENSMUSG00000102316	0
ENSMUSG00000103819	0
ENSMUSG00000102871	0
ENSMUSG00000025915	1.64651
ENSMUSG00000046334	0.416187
ENSMUSG00000088916	0
ENSMUSG00000046101	0
ENSMUSG00000098234	8.40245
ENSMUSG00000093178	0
ENSMUSG00000099032	0.290258
ENSMUSG00000025916	0
ENSMUSG00000104025	0
ENSMUSG00000087199	0
ENSMUSG00000025911	49.6998
ENSMUSG00000067879	0.12917
ENSMUSG00000079671	0.703913
ENSMUSG00000081441	0.170483
ENSMUSG00000088585	0
ENSMUSG00000103494	0
ENSMUSG00000100648	0
ENSMUSG00000100212	0
ENSMUSG00000103448	0
ENSMUSG00000101610	0.112825
ENSMUSG00000093864	0
ENSMUSG00000098555	0
ENSMUSG00000098163	0
ENSMUSG00000097628	0
ENSMUSG00000016918	0.386766
ENSMUSG00000104518	0
ENSMUSG00000097171	0
ENSMUSG00000101314	0
ENSMUSG00000069620	0
ENSMUSG00000099498	0
ENSMUSG00000042414	0
ENSMUSG00000025938	0.0226529
ENSMUSG00000048960	0.315188
ENSMUSG00000077318	0
ENSMUSG00000101827	0
ENSMUSG00000067851	11.1502
ENSMUSG00000088153	0
ENSMUSG00000102556	0
ENSMUSG00000042501	0
ENSMUSG00000103810	0
ENSMUSG00000083422	0
ENSMUSG00000094979	0
ENSMUSG00000081417	0
ENSMUSG00000057715	0.0399683
ENSMUSG00000103825	0
ENSMUSG00000099845	0
ENSMUSG00000103561	0
ENSMUSG00000101476	0
ENSMUSG00000101171	0
ENSMUSG00000025935	30.2943
ENSMUSG00000025917	22.6117
ENSMUSG00000056763	7.04505
ENSMUSG00000102356	0
ENSMUSG00000077368	0
ENSMUSG00000067813	5.39648
ENSMUSG00000102166	0
ENSMUSG00000104209	0
ENSMUSG00000097711	0
ENSMUSG00000032769	0
ENSMUSG00000103492	0
ENSMUSG00000081201	0
ENSMUSG00000088159	0
ENSMUSG00000082193	0.438293
ENSMUSG00000073737	0.192238
ENSMUSG00000089358	0
ENSMUSG00000100814	0
ENSMUSG00000054493	0.0381484
ENSMUSG00000025930	0.340714
ENSMUSG00000077377	0
ENSMUSG00000101652	0
ENSMUSG00000100652	0
ENSMUSG00000067795	0
ENSMUSG00000025932	0
ENSMUSG00000095853	0
ENSMUSG00000102588	0
ENSMUSG00000025925	4.73922
ENSMUSG00000104379	0.0265822
ENSMUSG00000032719	0.0309153
ENSMUSG00000088943	0
ENSMUSG00000005886	8.55346
ENSMUSG00000103506	0
ENSMUSG00000103495	0.0546624
ENSMUSG00000099183	0
ENSMUSG00000102639	0
ENSMUSG00000104170	0
ENSMUSG00000087782	0
ENSMUSG00000103085	0.0178356
ENSMUSG00000102664	0
ENSMUSG00000025937	57.8664
ENSMUSG00000102982	0.507785
ENSMUSG00000092083	0.0108782
ENSMUSG00000102937	0
ENSMUSG00000104149	0
ENSMUSG00000088829	0
ENSMUSG00000104165	0
ENSMUSG00000025921	3.4069
ENSMUSG00000025939	4.8965
ENSMUSG00000102457	0
ENSMUSG00000100959	0
ENSMUSG00000097744	0
ENSMUSG00000091020	0.0471147
ENSMUSG00000100093	0
ENSMUSG00000099899	0
ENSMUSG00000100272	0
ENSMUSG00000100398	0
